--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
014.039  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.044  000.003  000.003: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.375  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.379  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.383  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.388  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.392  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.397  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.402  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.408  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.414  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.418  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.422  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.427  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.431  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.495  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.507  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.619  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.624  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.654  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.658  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
014.662  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
