--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
016.256  000.011  000.011: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.260  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.264  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.267  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.588  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.592  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.597  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.601  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.605  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.611  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.615  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.621  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.625  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.630  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.634  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.639  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.644  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.723  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.729  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.736  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.740  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.745  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.749  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.753  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.757  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.790  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.793  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.797  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.801  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.806  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.810  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.816  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
017.221  000.169  000.169: require('lualine.utils.mode')
017.262  000.006  000.006: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
017.296  000.003  000.003: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
017.306  000.007  000.007: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
017.338  000.004  000.004: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
017.342  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
017.717  000.077  000.077: require('bufferline.lazy')
017.955  000.198  000.198: require('bufferline.commands')
018.252  000.296  000.296: require('bufferline.config')
018.255  000.906  000.335: require('bufferline')
018.809  000.173  000.173: require('bufferline.utils')
018.810  000.491  000.318: require('bufferline.groups')
018.888  000.070  000.070: require('bufferline.constants')
018.989  000.099  000.099: require('bufferline.colors')
019.165  000.138  000.138: require('bufferline.highlights')
019.256  000.004  000.004: require('vim.F')
019.899  000.267  000.267: require('vim.version')
020.568  001.030  000.762: require('bufferline.hover')
020.939  000.347  000.347: require('bufferline.ui')
021.983  001.039  001.039: require('vim.diagnostic')
022.175  000.156  000.156: require('gitsigns')
022.733  000.265  000.265: require('gitsigns.util')
022.744  000.542  000.277: require('gitsigns.config')
023.348  000.188  000.188: require('gitsigns.debug.log')
023.683  000.807  000.619: require('gitsigns.highlight')
023.804  000.107  000.107: require('gitsigns.debounce')
023.810  016.674  005.294: require('plugins.ui')
024.823  000.079  000.079: require('nvim-autopairs._log')
024.995  000.171  000.171: require('nvim-autopairs.utils')
025.000  000.452  000.202: require('nvim-autopairs.conds')
025.003  000.609  000.156: require('nvim-autopairs.rule')
025.005  000.742  000.133: require('nvim-autopairs.rules.basic')
025.012  001.118  000.377: require('nvim-autopairs')
025.859  000.122  000.122: require('telescope._extensions')
025.861  000.338  000.215: require('telescope')
027.081  000.176  000.176: require('plenary.bit')
027.185  000.103  000.103: require('plenary.functional')
027.199  000.009  000.009: require('ffi')
027.226  000.714  000.426: require('plenary.path')
027.234  000.890  000.176: require('plenary.strings')
027.747  000.173  000.173: require('plenary.log')
027.755  000.260  000.088: require('telescope.log')
028.450  000.081  000.081: require('plenary.compat')
028.454  000.375  000.294: require('plenary.job')
028.543  000.089  000.089: require('telescope.state')
028.562  000.806  000.342: require('telescope.utils')
028.565  001.330  000.264: require('telescope.sorters')
029.374  003.513  001.293: require('telescope.config')
029.963  000.126  000.126: require('which-key')
030.157  000.193  000.193: require('which-key.config')
030.314  000.109  000.109: require('trouble')
030.504  000.190  000.190: require('trouble.config')
030.826  000.189  000.189: require('trouble.util')
030.828  000.317  000.128: require('trouble.config.highlights')
031.391  000.098  000.098: require('trouble.cache')
031.568  000.177  000.177: require('trouble.format')
031.676  000.107  000.107: require('trouble.view.indent')
031.829  000.152  000.152: require('trouble.view.text')
031.831  000.704  000.171: require('trouble.view.render')
031.832  000.838  000.134: require('trouble.view.preview')
031.833  000.947  000.109: require('trouble.view.main')
031.861  000.018  000.018: require('vim.fs')
031.881  008.070  001.202: require('plugins.editor')
032.541  000.076  000.076: require('cmp.utils.debug')
032.790  000.118  000.118: require('cmp.utils.char')
032.794  000.252  000.133: require('cmp.utils.str')
033.209  000.152  000.152: require('cmp.utils.misc')
033.286  000.076  000.076: require('cmp.utils.buffer')
033.399  000.112  000.112: require('cmp.utils.api')
033.401  000.512  000.173: require('cmp.utils.keymap')
033.402  000.608  000.095: require('cmp.utils.feedkeys')
034.003  000.096  000.096: require('cmp.types.cmp')
034.158  000.154  000.154: require('cmp.types.lsp')
034.227  000.069  000.069: require('cmp.types.vim')
034.228  000.398  000.080: require('cmp.types')
034.231  000.526  000.128: require('cmp.config.mapping')
034.317  000.086  000.086: require('cmp.utils.cache')
034.618  000.178  000.178: require('cmp.config.compare')
034.701  000.082  000.082: require('cmp.config.window')
034.702  000.384  000.124: require('cmp.config.default')
034.734  001.175  000.180: require('cmp.config')
034.739  001.337  000.162: require('cmp.utils.async')
035.028  000.182  000.182: require('cmp.utils.pattern')
035.030  000.290  000.108: require('cmp.context')
035.832  000.262  000.262: require('cmp.utils.snippet')
035.993  000.160  000.160: require('cmp.matcher')
036.178  000.926  000.504: require('cmp.entry')
036.183  001.153  000.226: require('cmp.source')
036.446  000.085  000.085: require('cmp.utils.event')
036.842  000.074  000.074: require('cmp.utils.options')
036.844  000.267  000.192: require('cmp.utils.window')
036.845  000.399  000.132: require('cmp.view.docs_view')
037.232  000.093  000.093: require('cmp.utils.autocmd')
037.235  000.390  000.296: require('cmp.view.custom_entries_view')
037.416  000.180  000.180: require('cmp.view.wildmenu_entries_view')
037.567  000.151  000.151: require('cmp.view.native_entries_view')
037.710  000.142  000.142: require('cmp.view.ghost_text_view')
037.714  001.530  000.185: require('cmp.view')
038.311  006.123  000.879: require('cmp.core')
038.434  000.077  000.077: require('cmp.config.sources')
038.499  006.528  000.329: require('cmp')
039.515  000.074  000.074: require('luasnip.util.types')
039.580  000.064  000.064: require('luasnip.util.lazy_table')
039.684  000.103  000.103: require('luasnip.extras.filetype_functions')
039.709  000.421  000.179: require('luasnip.default_config')
039.710  000.502  000.081: require('luasnip.session')
040.443  000.733  000.733: require('luasnip.util.vimversion')
040.447  001.462  000.228: require('luasnip.util.util')
040.873  000.129  000.129: require('luasnip.util.str')
040.939  000.065  000.065: require('luasnip.util.table')
041.032  000.092  000.092: require('luasnip.util.ext_opts')
041.093  000.060  000.060: require('luasnip.nodes.key_indexer')
041.206  000.112  000.112: require('luasnip.util.feedkeys')
041.415  000.208  000.208: require('luasnip.nodes.util.snippet_string')
041.418  000.970  000.303: require('luasnip.nodes.util')
041.629  000.068  000.068: require('luasnip.session.snippet_collection.source')
041.702  000.072  000.072: require('luasnip.util.auto_table')
041.706  000.287  000.147: require('luasnip.session.snippet_collection')
042.054  000.101  000.101: require('luasnip.util.select')
042.118  000.063  000.063: require('luasnip.util.time')
042.307  000.469  000.305: require('luasnip.util._builtin_vars')
042.340  000.603  000.134: require('luasnip.util.environ')
042.417  000.076  000.076: require('luasnip.util.extend_decorator')
042.660  000.137  000.137: require('luasnip.util.path')
042.957  000.155  000.155: require('luasnip.util.log')
042.960  000.299  000.144: require('luasnip.loaders.util')
043.025  000.065  000.065: require('luasnip.loaders.data')
043.261  000.235  000.235: require('luasnip.loaders.fs_watchers')
043.263  000.845  000.109: require('luasnip.loaders')
043.367  000.096  000.096: require('luasnip.config')
043.368  004.869  000.529: require('luasnip')
043.945  000.318  000.318: require('conform')
043.982  012.100  000.385: require('plugins.coding')
044.128  000.094  000.094: require('nvim-treesitter')
044.246  000.117  000.117: require('nvim-treesitter.config')
044.291  000.308  000.097: require('plugins.treesitter')
044.624  000.083  000.083: require('mason-core.path')
044.921  000.063  000.063: require('mason-core.functional.data')
045.035  000.113  000.113: require('mason-core.functional.function')
045.166  000.129  000.129: require('mason-core.functional.list')
045.236  000.067  000.067: require('mason-core.functional.relation')
045.316  000.078  000.078: require('mason-core.functional.logic')
045.381  000.064  000.064: require('mason-core.functional.number')
045.471  000.088  000.088: require('mason-core.functional.string')
045.563  000.090  000.090: require('mason-core.functional.table')
045.649  000.084  000.084: require('mason-core.functional.type')
045.650  000.893  000.118: require('mason-core.functional')
045.666  001.041  000.148: require('mason-core.platform')
045.761  000.094  000.094: require('mason.settings')
