--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
015.595  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.600  000.003  000.003: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.949  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.953  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.957  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.961  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.965  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.969  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.972  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.978  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.982  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.986  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.991  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.995  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
015.999  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.002  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.080  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.084  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.088  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.092  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.095  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.100  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.103  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.109  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.113  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.116  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.121  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.124  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.127  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.133  000.001  000.001: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.232  000.004  000.004: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.252  000.003  000.003: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.260  000.006  000.006: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.265  000.003  000.003: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.268  000.002  000.002: sourcing nvim_exec2() called at /Users/rohan/.config/nvim/init.lua:0
016.520  000.066  000.066: require('bufferline.lazy')
016.716  000.190  000.190: require('bufferline.commands')
017.062  000.344  000.344: require('bufferline.config')
017.064  000.792  000.192: require('bufferline')
017.876  000.277  000.277: require('bufferline.utils')
017.877  000.781  000.504: require('bufferline.groups')
017.968  000.069  000.069: require('bufferline.constants')
018.066  000.096  000.096: require('bufferline.colors')
018.314  000.176  000.176: require('bufferline.highlights')
018.371  000.003  000.003: require('vim.F')
018.970  000.257  000.257: require('vim.version')
019.610  000.997  000.740: require('bufferline.hover')
019.966  000.329  000.329: require('bufferline.ui')
020.998  001.029  001.029: require('vim.diagnostic')
021.174  000.155  000.155: require('gitsigns')
021.654  000.234  000.234: require('gitsigns.util')
021.660  000.462  000.227: require('gitsigns.config')
022.158  000.180  000.180: require('gitsigns.debug.log')
022.427  000.736  000.556: require('gitsigns.highlight')
022.555  000.116  000.116: require('gitsigns.debounce')
022.560  014.934  004.109: require('plugins.ui')
023.553  000.080  000.080: require('nvim-autopairs._log')
023.722  000.168  000.168: require('nvim-autopairs.utils')
023.726  000.452  000.204: require('nvim-autopairs.conds')
023.729  000.607  000.155: require('nvim-autopairs.rule')
023.731  000.740  000.133: require('nvim-autopairs.rules.basic')
023.737  001.111  000.371: require('nvim-autopairs')
024.279  000.100  000.100: require('telescope._extensions')
024.281  000.235  000.135: require('telescope')
025.302  000.186  000.186: require('plenary.bit')
025.405  000.103  000.103: require('plenary.functional')
025.424  000.012  000.012: require('ffi')
025.446  000.735  000.434: require('plenary.path')
025.455  000.898  000.163: require('plenary.strings')
026.165  000.275  000.275: require('plenary.log')
026.215  000.399  000.125: require('telescope.log')
026.981  000.081  000.081: require('plenary.compat')
026.985  000.354  000.273: require('plenary.job')
027.072  000.087  000.087: require('telescope.state')
027.088  000.873  000.433: require('telescope.utils')
027.091  001.636  000.364: require('telescope.sorters')
027.930  003.649  001.114: require('telescope.config')
028.373  005.812  000.817: require('plugins.editor')
029.029  000.083  000.083: require('cmp.utils.debug')
029.287  000.118  000.118: require('cmp.utils.char')
029.290  000.260  000.142: require('cmp.utils.str')
029.694  000.142  000.142: require('cmp.utils.misc')
029.767  000.072  000.072: require('cmp.utils.buffer')
029.866  000.098  000.098: require('cmp.utils.api')
029.869  000.483  000.170: require('cmp.utils.keymap')
029.870  000.580  000.097: require('cmp.utils.feedkeys')
030.425  000.085  000.085: require('cmp.types.cmp')
030.551  000.124  000.124: require('cmp.types.lsp')
030.616  000.065  000.065: require('cmp.types.vim')
030.617  000.346  000.072: require('cmp.types')
030.619  000.467  000.121: require('cmp.config.mapping')
030.695  000.076  000.076: require('cmp.utils.cache')
030.953  000.151  000.151: require('cmp.config.compare')
031.027  000.073  000.073: require('cmp.config.window')
031.028  000.332  000.107: require('cmp.config.default')
031.040  001.021  000.147: require('cmp.config')
031.050  001.179  000.158: require('cmp.utils.async')
031.217  000.071  000.071: require('cmp.utils.pattern')
031.219  000.168  000.097: require('cmp.context')
031.910  000.224  000.224: require('cmp.utils.snippet')
032.060  000.150  000.150: require('cmp.matcher')
032.228  000.816  000.441: require('cmp.entry')
032.232  001.012  000.197: require('cmp.source')
032.464  000.078  000.078: require('cmp.utils.event')
032.826  000.071  000.071: require('cmp.utils.options')
032.828  000.242  000.171: require('cmp.utils.window')
032.829  000.364  000.122: require('cmp.view.docs_view')
033.180  000.092  000.092: require('cmp.utils.autocmd')
033.184  000.355  000.263: require('cmp.view.custom_entries_view')
033.348  000.163  000.163: require('cmp.view.wildmenu_entries_view')
033.474  000.126  000.126: require('cmp.view.native_entries_view')
033.600  000.125  000.125: require('cmp.view.ghost_text_view')
